"bound","FDP_bar","alpha"
"KR",0.498789357852046,0.15
"KR",0.329181912968576,0.15
"KR",0.42988993888886,0.15
"KR",0.185995587348266,0.15
"KR",0.11934314119258,0.15
"KR",0.372935523934818,0.15
"KR",0.457825296003388,0.15
"KR",0.343168276651282,0.15
"KR",0.287270377976171,0.15
"KR",0.45210440910362,0.15
"KR",0.361228823299294,0.2
"KR",0.558577495476154,0.2
"KR",0.533787936386516,0.2
"KR",0.332721503430604,0.2
"KR",0.309777629197976,0.2
"KR",0.565939899496302,0.2
"KR",0.376600262588626,0.2
"KR",0.28175569172559,0.2
"KR",0.462504423784696,0.2
"KR",0.576102401236243,0.2
"KR-U",0.421489676068491,0.15
"KR-U",0.310498752335287,0.15
"KR-U",0.375795475316418,0.15
"KR-U",0.199094705709185,0.15
"KR-U",0.125255132665207,0.15
"KR-U",0.317062656679751,0.15
"KR-U",0.385460645798519,0.15
"KR-U",0.313837448596957,0.15
"KR-U",0.262900899125184,0.15
"KR-U",0.430823877063978,0.15
"KR-U",0.313206187270697,0.2
"KR-U",0.437370141964065,0.2
"KR-U",0.42798463820089,0.2
"KR-U",0.338722462288084,0.2
"KR-U",0.299994224276182,0.2
"KR-U",0.457884899523444,0.2
"KR-U",0.32653411013328,0.2
"KR-U",0.297498633465044,0.2
"KR-U",0.41348131617217,0.2
"KR-U",0.440761456750745,0.2
"KJI-A",0.414893617021277,0.15
"KJI-A",0.276595744680851,0.15
"KJI-A",0.35632183908046,0.15
"KJI-A",0.166666666666667,0.15
"KJI-A",0.115044247787611,0.15
"KJI-A",0.305263157894737,0.15
"KJI-A",0.380952380952381,0.15
"KJI-A",0.279569892473118,0.15
"KJI-A",0.217391304347826,0.15
"KJI-A",0.376470588235294,0.15
"KJI-A",0.306122448979592,0.2
"KJI-A",0.44,0.2
"KJI-A",0.423529411764706,0.2
"KJI-A",0.290322580645161,0.2
"KJI-A",0.242105263157895,0.2
"KJI-A",0.451923076923077,0.2
"KJI-A",0.319148936170213,0.2
"KJI-A",0.237623762376238,0.2
"KJI-A",0.40625,0.2
"KJI-A",0.432692307692308,0.2
"KJI-B",0.329787234042553,0.15
"KJI-B",0.24468085106383,0.15
"KJI-B",0.298850574712644,0.15
"KJI-B",0.166666666666667,0.15
"KJI-B",0.115044247787611,0.15
"KJI-B",0.221052631578947,0.15
"KJI-B",0.357142857142857,0.15
"KJI-B",0.236559139784946,0.15
"KJI-B",0.195652173913043,0.15
"KJI-B",0.341176470588235,0.15
"KJI-B",0.244897959183673,0.2
"KJI-B",0.37,0.2
"KJI-B",0.4,0.2
"KJI-B",0.290322580645161,0.2
"KJI-B",0.221052631578947,0.2
"KJI-B",0.394230769230769,0.2
"KJI-B",0.25531914893617,0.2
"KJI-B",0.287128712871287,0.2
"KJI-B",0.34375,0.2
"KJI-B",0.365384615384615,0.2
"KJI-C",0.372340425531915,0.15
"KJI-C",0.276595744680851,0.15
"KJI-C",0.344827586206897,0.15
"KJI-C",0.166666666666667,0.15
"KJI-C",0.115044247787611,0.15
"KJI-C",0.263157894736842,0.15
"KJI-C",0.404761904761905,0.15
"KJI-C",0.279569892473118,0.15
"KJI-C",0.217391304347826,0.15
"KJI-C",0.376470588235294,0.15
"KJI-C",0.285714285714286,0.2
"KJI-C",0.41,0.2
"KJI-C",0.447058823529412,0.2
"KJI-C",0.311827956989247,0.2
"KJI-C",0.242105263157895,0.2
"KJI-C",0.432692307692308,0.2
"KJI-C",0.297872340425532,0.2
"KJI-C",0.237623762376238,0.2
"KJI-C",0.385416666666667,0.2
"KJI-C",0.403846153846154,0.2
"KJI-D",0.329787234042553,0.15
"KJI-D",0.24468085106383,0.15
"KJI-D",0.298850574712644,0.15
"KJI-D",0.166666666666667,0.15
"KJI-D",0.115044247787611,0.15
"KJI-D",0.221052631578947,0.15
"KJI-D",0.369047619047619,0.15
"KJI-D",0.236559139784946,0.15
"KJI-D",0.217391304347826,0.15
"KJI-D",0.341176470588235,0.15
"KJI-D",0.244897959183673,0.2
"KJI-D",0.43,0.2
"KJI-D",0.447058823529412,0.2
"KJI-D",0.268817204301075,0.2
"KJI-D",0.273684210526316,0.2
"KJI-D",0.432692307692308,0.2
"KJI-D",0.25531914893617,0.2
"KJI-D",0.267326732673267,0.2
"KJI-D",0.34375,0.2
"KJI-D",0.384615384615385,0.2
